Date             P       T       L
2014-06-09     49        22        22
2014-06-08     68        24        27
2014-06-07     65        21        47
2014-06-06     34        46        64
2014-06-05     52        41        40
2014-06-04     49        43        18
2014-06-03     32        24        45
2014-06-02     50        50        44
2014-06-01     32        28        96
2014-05-31     54        21        25
2014-05-30     57        44        38
2014-05-29     32        26        66
2014-05-28     68        49        91
2014-05-27     53        29        32
2014-05-26     57        15        72
2014-05-25     48        30        20
2014-05-24     27        27        58
2014-05-23     32        37        32
2014-05-22     56        35        54
2014-05-21     47        44        29
2014-05-20     70        25        76
2014-05-19     60        31        82
2014-05-18     25        44        13
2014-05-17     36        26        63
2014-05-16     70        26        59
2014-05-15     58        35        36
2014-05-14     33        30        95
2014-05-13     32        43        63
2014-05-12     55        39        76
2014-05-11     41        38        68
2014-05-10     41        25        24
2014-05-09     64        42        76
2014-05-08     47        33        79
2014-05-07     37        33        33
2014-05-06     42        37        22
2014-05-05     30        35        83
2014-05-04     32        31        97
2014-05-03     47        40        24
2014-05-02     25        36        36
2014-05-01     41        16        17
2014-04-30     70        43        38
2014-04-29     55        40        93
2014-04-28     61        50        95
2014-04-27     67        22        80
2014-04-26     63        28        98
2014-04-25     29        44        63
2014-04-24     30        40        94
2014-04-23     25        20        97
2014-04-22     55        24        62
2014-04-21     63        22        33
2014-04-20     46        18        96
2014-04-19     33        24        21
2014-04-18     30        41        100
2014-04-17     70        30        83
2014-04-16     70        32        32
2014-04-15     56        16        44
2014-04-14     61        40        35
2014-04-13     33        16        57
2014-04-12     47        40        41
2014-04-11     67        24        51
2014-04-10     66        23        94
2014-04-09     67        16        91
2014-04-08     56        28        75
2014-04-07     53        41        39
2014-04-06     40        36        44
2014-04-05     40        15        77
2014-04-04     36        22        94
2014-04-03     49        18        31
2014-04-02     40        21        39
2014-04-01     38        34        78
2014-03-31     58        15        26
2014-03-30     70        39        64
2014-03-29     26        47        16
2014-03-28     38        35        98
2014-03-27     63        36        95
2014-03-26     30        32        42
2014-03-25     26        16        16
2014-03-24     53        39        20
2014-03-23     36        50        32
2014-03-22     34        38        45
2014-03-21     66        16        80
2014-03-20     62        46        52
2014-03-19     25        39        79
2014-03-18     53        35        30
2014-03-17     45        16        20
2014-03-16     39        16        56
2014-03-15     53        37        56
2014-03-14     66        36        22
2014-03-13     58        50        53
2014-03-12     60        49        78
2014-03-11     63        17        55
2014-03-10     46        39        31
2014-03-09     39        39        27
2014-03-08     68        33        80
2014-03-07     64        30        92
2014-03-06     36        45        92
2014-03-05     52        32        96
2014-03-04     68        29        81
2014-03-03     54        28        37
2014-03-02     51        15        61
2014-03-01     47        38        49
2014-02-28     64        24        89
2014-02-27     70        27        64
2014-02-26     62        28        40
2014-02-25     41        49        48
2014-02-24     45        39        11
2014-02-23     49        45        88
2014-02-22     58        33        88
2014-02-21     66        30        34
2014-02-20     52        23        57
2014-02-19     50        20        49
2014-02-18     57        48        91
2014-02-17     35        24        75
2014-02-16     49        26        86
2014-02-15     48        40        27
2014-02-14     59        30        66
2014-02-13     40        19        76
2014-02-12     47        20        91
2014-02-11     57        40        51
2014-02-10     25        46        41
2014-02-09     26        25        77
2014-02-08     57        48        39
2014-02-07     47        17        93
2014-02-06     40        31        51
2014-02-05     53        48        66
2014-02-04     64        38        40
2014-02-03     64        33        46
2014-02-02     65        17        54
2014-02-01     59        47        47
2014-01-31     52        41        70
2014-01-30     46        30        78
2014-01-29     42        44        34
2014-01-28     58        20        55
2014-01-27     25        50        12
2014-01-26     46        37        38
2014-01-25     60        48        17
2014-01-24     55        37        22
2014-01-23     60        50        18
2014-01-22     29        37        41
2014-01-21     30        18        40
2014-01-20     51        44        18
2014-01-19     38        49        13
2014-01-18     40        48        83
2014-01-17     60        25        77
2014-01-16     56        28        89
2014-01-15     34        16        76
2014-01-14     39        44        35
2014-01-13     70        33        46
2014-01-12     56        37        49
2014-01-11     57        22        52
2014-01-10     59        16        73
2014-01-09     29        35        18
2014-01-08     70        18        57
2014-01-07     51        16        32
2014-01-06     53        36        10
2014-01-05     65        33        29
2014-01-04     47        35        66
2014-01-03     40        46        83
2014-01-02     64        35        43
2014-01-01     62        28        69
2013-12-31     27        24        14
2013-12-30     68        17        99
2013-12-29     25        39        90
2013-12-28     61        20        64
2013-12-27     46        48        13
2013-12-26     40        37        19
2013-12-25     25        32        58
2013-12-24     48        26        61
2013-12-23     35        39        44
2013-12-22     56        15        37
2013-12-21     31        26        87
2013-12-20     51        30        66
2013-12-19     46        25        87
2013-12-18     35        44        62
2013-12-17     37        46        56
2013-12-16     50        25        88
2013-12-15     46        49        42
2013-12-14     62        36        93
2013-12-13     29        32        29
2013-12-12     65        44        64
2013-12-11     65        15        90
2013-12-10     50        22        29
2013-12-09     42        33        97
2013-12-08     32        41        94
2013-12-07     47        23        65
2013-12-06     29        49        30
2013-12-05     63        38        43
2013-12-04     70        50        39
2013-12-03     52        25        94
2013-12-02     32        32        64
2013-12-01     59        21        86
2013-11-30     54        50        36
2013-11-29     56        44        82
2013-11-28     42        26        82
2013-11-27     53        26        62
2013-11-26     33        24        42
2013-11-25     58        49        41
2013-11-24     68        29        87
2013-11-23     44        28        43
2013-11-22     63        16        25
2013-11-21     58        36        63
2013-11-20     30        49        71
2013-11-19     65        23        77
2013-11-18     36        43        36
2013-11-17     50        38        34
2013-11-16     50        17        77
2013-11-15     56        34        92
2013-11-14     61        47        20
2013-11-13     63        46        56
2013-11-12     47        41        44
2013-11-11     36        26        18
2013-11-10     26        35        41
2013-11-09     37        42        51
2013-11-08     46        30        76
2013-11-07     29        33        51
2013-11-06     45        29        25
2013-11-05     41        29        17
2013-11-04     64        30        11
2013-11-03     64        17        91
2013-11-02     52        18        12
2013-11-01     59        33        21
2013-10-31     69        49        49
2013-10-30     27        41        82
2013-10-29     54        19        21
2013-10-28     31        44        78
2013-10-27     68        16        17
2013-10-26     68        27        59
2013-10-25     51        27        89
2013-10-24     70        48        51
2013-10-23     66        19        28
2013-10-22     51        46        36
2013-10-21     70        49        75
2013-10-20     35        21        42
2013-10-19     58        27        59
2013-10-18     33        48        57
2013-10-17     40        20        24
2013-10-16     58        43        98
2013-10-15     29        45        66
2013-10-14     54        37        43
2013-10-13     26        18        49
2013-10-12     55        36        29
2013-10-11     57        31        87
2013-10-10     28        35        27
2013-10-09     67        45        46
2013-10-08     50        38        40
2013-10-07     48        39        82
2013-10-06     58        41        25
2013-10-05     39        24        99
2013-10-04     26        21        52
2013-10-03     33        17        36
2013-10-02     50        45        76
2013-10-01     47        15        14
2013-09-30     27        20        16
2013-09-29     33        47        62
2013-09-28     42        39        35
2013-09-27     62        44        77
2013-09-26     57        31        86
2013-09-25     67        21        83
2013-09-24     51        40        80
2013-09-23     56        22        56
2013-09-22     41        35        50
2013-09-21     59        25        47
2013-09-20     68        33        67
2013-09-19     46        40        75
2013-09-18     64        48        18
2013-09-17     58        17        16
2013-09-16     63        20        79
2013-09-15     67        41        49
2013-09-14     26        31        78
2013-09-13     34        38        58
2013-09-12     59        22        57
2013-09-11     69        36        71
2013-09-10     48        18        68
2013-09-09     25        31        32
2013-09-08     37        22        78
2013-09-07     44        38        73
2013-09-06     40        49        57
2013-09-05     63        17        25
2013-09-04     62        27        59
2013-09-03     45        30        86
2013-09-02     44        47        38
2013-09-01     53        22        76
2013-08-31     47        16        56
2013-08-30     29        26        93
2013-08-29     28        40        24
2013-08-28     31        50        88
2013-08-27     48        30        75
2013-08-26     26        48        32
2013-08-25     69        42        96
2013-08-24     54        35        34
2013-08-23     67        33        79
2013-08-22     70        30        80
2013-08-21     44        23        40
2013-08-20     48        16        53
2013-08-19     52        33        68
2013-08-18     68        44        50
2013-08-17     63        32        49
2013-08-16     29        49        53
2013-08-15     27        38        77
2013-08-14     59        19        81
2013-08-13     61        45        28
2013-08-12     68        32        36
2013-08-11     39        41        17
2013-08-10     49        45        82
2013-08-09     39        29        19
2013-08-08     68        24        79
2013-08-07     50        49        84
2013-08-06     62        36        48
2013-08-05     44        28        20
2013-08-04     47        34        86
2013-08-03     68        45        35
2013-08-02     60        49        39
2013-08-01     33        25        89
2013-07-31     67        28        57
2013-07-30     38        28        55
2013-07-29     50        48        29
2013-07-28     57        39        91
2013-07-27     64        34        10
2013-07-26     32        26        48
2013-07-25     30        42        56
2013-07-24     43        35        74
2013-07-23     66        19        98
2013-07-22     28        44        93
2013-07-21     27        30        51
2013-07-20     31        30        49
2013-07-19     36        25        45
2013-07-18     55        34        64
2013-07-17     33        25        51
2013-07-16     38        17        53
2013-07-15     38        28        52
2013-07-14     31        49        90
2013-07-13     58        31        57
2013-07-12     54        28        71
2013-07-11     55        33        65
2013-07-10     35        39        76
2013-07-09     25        25        37
2013-07-08     54        45        79
2013-07-07     50        42        74
2013-07-06     58        45        86
2013-07-05     42        19        64
2013-07-04     35        22        48
2013-07-03     30        47        24
2013-07-02     68        47        71
2013-07-01     38        35        99
2013-06-30     54        32        60
2013-06-29     45        29        56
2013-06-28     26        16        82
2013-06-27     53        49        80
2013-06-26     51        45        94
2013-06-25     66        39        87
2013-06-24     48        36        67
2013-06-23     67        49        48
2013-06-22     25        35        47
2013-06-21     68        25        61
2013-06-20     33        42        72
2013-06-19     27        46        57
2013-06-18     67        31        91
2013-06-17     41        40        87
2013-06-16     37        23        60
2013-06-15     55        34        93
2013-06-14     52        42        66
2013-06-13     52        50        22
2013-06-12     51        44        10
2013-06-11     40        17        67
2013-06-10     52        45        42
2013-06-09     52        25        70
2013-06-08     25        25        93
2013-06-07     63        15        98
2013-06-06     67        28        61
2013-06-05     30        22        56
2013-06-04     38        50        86
2013-06-03     32        23        46
2013-06-02     39        20        60
2013-06-01     65        41        33
2013-05-31     26        17        22
2013-05-30     50        34        28
2013-05-29     46        35        76
2013-05-28     25        43        81
2013-05-27     66        18        95
2013-05-26     38        19        48
2013-05-25     70        28        70
2013-05-24     29        44        10
2013-05-23     35        28        91
2013-05-22     26        39        70
2013-05-21     67        25        87
2013-05-20     34        23        51
2013-05-19     48        20        87
2013-05-18     28        46        95
2013-05-17     26        41        45
2013-05-16     48        36        29
2013-05-15     54        45        27
2013-05-14     68        27        23
2013-05-13     31        49        70
2013-05-12     31        18        75
2013-05-11     54        39        95
2013-05-10     50        33        27
2013-05-09     26        47        88
2013-05-08     44        40        91
2013-05-07     43        40        59
2013-05-06     56        42        66
2013-05-05     39        31        73
2013-05-04     33        18        67
2013-05-03     44        15        22
2013-05-02     28        28        44
2013-05-01     39        47        11
2013-04-30     53        28        31
2013-04-29     70        23        81
2013-04-28     62        18        33
2013-04-27     46        27        52
2013-04-26     47        21        35
2013-04-25     65        33        17
2013-04-24     40        34        90
2013-04-23     50        31        50
2013-04-22     37        31        90
2013-04-21     69        32        87
2013-04-20     57        15        59
2013-04-19     47        28        44
2013-04-18     36        15        55
2013-04-17     42        32        64
2013-04-16     48        35        59
2013-04-15     59        18        54
2013-04-14     28        43        38
2013-04-13     55        20        85
2013-04-12     53        45        81
2013-04-11     58        32        43
2013-04-10     57        24        81
2013-04-09     36        27        86
2013-04-08     65        41        45
2013-04-07     42        50        92
2013-04-06     65        45        60
2013-04-05     47        45        44
2013-04-04     42        37        76
2013-04-03     50        46        92
2013-04-02     63        48        21
2013-04-01     39        15        17
2013-03-31     50        47        63
2013-03-30     56        20        36
2013-03-29     64        40        86
2013-03-28     45        32        77
2013-03-27     52        36        90
2013-03-26     35        18        28
2013-03-25     47        48        18
2013-03-24     62        15        12
2013-03-23     57        34        51
2013-03-22     55        18        33
2013-03-21     41        20        67
2013-03-20     51        29        71
2013-03-19     48        31        48
2013-03-18     56        48        35
2013-03-17     42        35        99
2013-03-16     49        35        71
2013-03-15     27        47        77
2013-03-14     25        44        99
2013-03-13     31        44        60
2013-03-12     31        34        82
2013-03-11     62        47        61
2013-03-10     37        35        67
2013-03-09     65        48        68
2013-03-08     28        16        27
2013-03-07     51        45        70
2013-03-06     51        33        94
2013-03-05     53        39        96
2013-03-04     31        46        68
2013-03-03     46        29        63
2013-03-02     26        38        97
2013-03-01     40        39        93
2013-02-28     48        25        13
2013-02-27     66        23        26
2013-02-26     38        34        24
2013-02-25     52        15        18
2013-02-24     58        45        45
2013-02-23     59        33        63
2013-02-22     45        44        53
2013-02-21     35        37        17
2013-02-20     34        20        99
2013-02-19     25        23        73
2013-02-18     62        21        41
2013-02-17     38        36        73
2013-02-16     30        36        52
2013-02-15     58        16        23
2013-02-14     55        21        66
2013-02-13     42        30        39
2013-02-12     48        20        70
2013-02-11     29        41        38
2013-02-10     66        28        69
2013-02-09     64        19        77
2013-02-08     25        32        70
2013-02-07     69        30        100
2013-02-06     53        26        73
2013-02-05     29        24        40
2013-02-04     62        21        26
2013-02-03     31        19        19
2013-02-02     60        46        76
2013-02-01     49        38        74
2013-01-31     27        44        19
2013-01-30     29        33        62
2013-01-29     41        21        45
2013-01-28     65        41        36
2013-01-27     26        36        60
2013-01-26     58        42        71
2013-01-25     25        25        98
2013-01-24     34        43        41
2013-01-23     48        32        26
2013-01-22     30        33        91
2013-01-21     26        36        50
2013-01-20     69        30        41
2013-01-19     39        42        57
2013-01-18     57        15        39
2013-01-17     52        35        79
2013-01-16     51        23        56
2013-01-15     66        41        39
2013-01-14     68        48        11
2013-01-13     29        19        22
2013-01-12     27        39        75
2013-01-11     61        24        58
2013-01-10     44        45        71
2013-01-09     64        19        27
2013-01-08     63        15        96
2013-01-07     34        38        84
2013-01-06     61        40        28
2013-01-05     35        44        36
2013-01-04     54        23        28
2013-01-03     52        44        72
2013-01-02     28        32        86
2013-01-01     63        16        62
2012-12-31     31        49        36
2012-12-30     65        43        81
2012-12-29     45        43        48
2012-12-28     48        33        94
2012-12-27     54        33        49
2012-12-26     42        29        17
2012-12-25     37        24        67
2012-12-24     33        19        89
2012-12-23     44        28        89
2012-12-22     55        33        32
2012-12-21     33        47        18
2012-12-20     68        24        65
2012-12-19     37        18        93
2012-12-18     57        42        65
2012-12-17     46        29        78
2012-12-16     65        24        47
2012-12-15     52        38        31
2012-12-14     51        46        79
2012-12-13     64        36        42
2012-12-12     31        43        47
2012-12-11     56        50        61
2012-12-10     36        29        18
2012-12-09     33        27        71
2012-12-08     57        50        21
2012-12-07     52        48        54
2012-12-06     64        25        81
2012-12-05     67        24        25
2012-12-04     34        41        43
2012-12-03     48        36        53
2012-12-02     51        29        33
2012-12-01     31        43        75
2012-11-30     35        25        64
2012-11-29     70        20        41
2012-11-28     49        27        97
2012-11-27     54        48        100
2012-11-26     65        26        78
2012-11-25     57        44        96
2012-11-24     49        49        92
2012-11-23     62        36        24
2012-11-22     37        24        48
2012-11-21     32        28        96
2012-11-20     67        15        49
2012-11-19     65        19        78
2012-11-18     66        16        79
2012-11-17     61        32        10
2012-11-16     37        41        65
2012-11-15     64        43        83
2012-11-14     35        41        81
2012-11-13     58        25        67
2012-11-12     30        27        100
2012-11-11     68        33        15
2012-11-10     61        20        63
2012-11-09     40        27        35
2012-11-08     35        50        57
2012-11-07     55        43        70
2012-11-06     56        36        64
2012-11-05     59        24        88
2012-11-04     42        35        83
2012-11-03     60        37        66
2012-11-02     65        29        63
2012-11-01     33        36        39
2012-10-31     27        39        18
2012-10-30     34        49        61
2012-10-29     32        19        52
2012-10-28     36        44        21
2012-10-27     53        50        93
2012-10-26     29        21        47
2012-10-25     63        37        95
2012-10-24     70        46        48
2012-10-23     67        22        72
2012-10-22     25        23        53
2012-10-21     67        25        76
2012-10-20     70        44        16
2012-10-19     48        40        54
2012-10-18     38        40        76
2012-10-17     31        38        72
2012-10-16     64        36        44
2012-10-15     43        15        67
2012-10-14     56        44        60
2012-10-13     54        18        47
2012-10-12     69        31        36
2012-10-11     27        31        42
2012-10-10     69        30        38
2012-10-09     29        46        25
2012-10-08     39        30        80
2012-10-07     43        38        25
2012-10-06     46        20        95
2012-10-05     44        33        59
2012-10-04     62        15        57
2012-10-03     44        42        45
2012-10-02     70        20        12
2012-10-01     57        44        29
2012-09-30     66        30        72
2012-09-29     36        43        45
2012-09-28     59        20        44
2012-09-27     64        46        55
2012-09-26     64        30        87
2012-09-25     39        25        42
2012-09-24     65        34        15
2012-09-23     49        17        79
2012-09-22     61        48        37
2012-09-21     63        20        95
2012-09-20     45        23        13
2012-09-19     25        25        20
2012-09-18     36        44        58
2012-09-17     29        48        22
2012-09-16     29        34        72
2012-09-15     52        34        56
2012-09-14     70        23        76
2012-09-13     54        22        45
2012-09-12     62        42        70
2012-09-11     69        17        48
2012-09-10     58        42        17
2012-09-09     38        35        92
2012-09-08     46        25        61
2012-09-07     52        21        83
2012-09-06     52        44        11
2012-09-05     48        46        84
2012-09-04     58        36        27
2012-09-03     47        27        65
2012-09-02     59        18        13
2012-09-01     27        42        48
2012-08-31     39        17        96
2012-08-30     57        31        73
2012-08-29     42        25        83
2012-08-28     68        19        68
2012-08-27     34        45        27
2012-08-26     63        21        32
2012-08-25     64        23        59
2012-08-24     40        44        94
2012-08-23     31        18        59
2012-08-22     43        33        25
2012-08-21     66        50        30
2012-08-20     42        37        68
2012-08-19     63        22        86
2012-08-18     47        47        23
2012-08-17     44        36        82
2012-08-16     70        21        100
2012-08-15     54        37        75
2012-08-14     53        18        100
2012-08-13     46        49        25
2012-08-12     51        44        59
2012-08-11     46        46        57
2012-08-10     38        39        70
2012-08-09     48        43        83
2012-08-08     30        22        81
2012-08-07     32        39        63
2012-08-06     61        17        39
2012-08-05     60        41        35
2012-08-04     38        26        86
2012-08-03     61        25        90
2012-08-02     39        33        36
2012-08-01     58        30        61
2012-07-31     30        43        25
2012-07-30     65        15        56
2012-07-29     59        30        14
2012-07-28     53        36        96
2012-07-27     54        44        96
2012-07-26     34        31        91
2012-07-25     49        19        87
2012-07-24     31        24        50
2012-07-23     70        48        28
2012-07-22     50        43        32
2012-07-21     34        22        17
2012-07-20     29        40        54
2012-07-19     69        31        41
2012-07-18     45        50        80
2012-07-17     36        24        98
2012-07-16     45        37        79
2012-07-15     60        47        15
2012-07-14     67        44        62
2012-07-13     28        23        51
2012-07-12     63        28        68
2012-07-11     66        44        21
2012-07-10     42        28        78
2012-07-09     39        44        95
2012-07-08     46        31        76
2012-07-07     42        35        69
2012-07-06     57        32        57
2012-07-05     70        40        66
2012-07-04     34        26        22
2012-07-03     57        35        72
2012-07-02     41        37        33
2012-07-01     36        27        59
2012-06-30     32        16        53
2012-06-29     56        36        32
2012-06-28     59        44        98
2012-06-27     64        36        96
2012-06-26     42        32        91
2012-06-25     34        36        66
2012-06-24     54        47        88
2012-06-23     62        23        53
2012-06-22     54        25        72
2012-06-21     56        46        88
2012-06-20     52        15        73
2012-06-19     48        49        46
2012-06-18     45        18        48
2012-06-17     29        46        64
2012-06-16     51        44        87
2012-06-15     32        35        93
2012-06-14     61        27        67
2012-06-13     34        33        34
2012-06-12     29        35        26
2012-06-11     28        19        56
2012-06-10     56        44        77
2012-06-09     41        24        32
2012-06-08     49        29        92
2012-06-07     49        50        71
2012-06-06     56        26        86
2012-06-05     57        42        27
2012-06-04     38        19        36
2012-06-03     68        33        88
2012-06-02     53        46        50
2012-06-01     26        30        74
2012-05-31     50        40        86
2012-05-30     36        31        21
2012-05-29     54        24        79
2012-05-28     68        28        41
2012-05-27     47        25        49
2012-05-26     63        25        91
2012-05-25     41        39        16
2012-05-24     47        33        98
2012-05-23     33        21        10
2012-05-22     43        21        62
2012-05-21     63        39        70
2012-05-20     63        39        14
2012-05-19     44        26        82
2012-05-18     26        43        74
2012-05-17     66        18        39
2012-05-16     40        47        30
2012-05-15     32        27        65
2012-05-14     53        47        63
2012-05-13     57        27        88
2012-05-12     62        38        80
2012-05-11     40        25        58
2012-05-10     40        19        44
2012-05-09     66        15        36
2012-05-08     50        50        17
2012-05-07     26        43        63
2012-05-06     52        25        79
2012-05-05     32        39        89
2012-05-04     26        18        80
2012-05-03     63        15        13
2012-05-02     52        34        79
2012-05-01     45        47        77
2012-04-30     56        42        37
2012-04-29     58        39        74
2012-04-28     31        21        51
2012-04-27     38        41        50
2012-04-26     70        25        93
2012-04-25     29        29        19
2012-04-24     50        46        49
2012-04-23     43        27        98
2012-04-22     32        18        91
2012-04-21     61        34        68
2012-04-20     69        31        73
2012-04-19     62        50        30
2012-04-18     55        40        10
2012-04-17     52        39        27
2012-04-16     39        24        86
2012-04-15     62        31        80
2012-04-14     32        48        40
2012-04-13     48        28        73
2012-04-12     54        16        48
2012-04-11     35        19        41
2012-04-10     37        40        60
2012-04-09     48        15        51
2012-04-08     65        37        63
2012-04-07     68        31        33
2012-04-06     32        47        89
2012-04-05     44        34        38
2012-04-04     56        33        62
2012-04-03     51        45        22
2012-04-02     34        18        74
2012-04-01     45        45        27
2012-03-31     51        20        24
2012-03-30     41        29        52
2012-03-29     55        42        29
2012-03-28     70        47        34
2012-03-27     41        42        30
2012-03-26     53        48        72
2012-03-25     28        15        46
2012-03-24     31        46        12
2012-03-23     51        30        47
2012-03-22     66        40        96
2012-03-21     45        29        36
2012-03-20     48        33        31
2012-03-19     69        42        19
2012-03-18     51        30        14
2012-03-17     45        43        66
2012-03-16     57        31        58
2012-03-15     41        23        46
2012-03-14     62        42        48
2012-03-13     60        25        24
2012-03-12     37        38        66
2012-03-11     31        24        62
2012-03-10     61        42        89
2012-03-09     42        22        20
2012-03-08     66        42        71
2012-03-07     31        17        18
2012-03-06     32        21        34
2012-03-05     34        27        10
2012-03-04     50        47        31
2012-03-03     43        26        98
2012-03-02     43        26        27
2012-03-01     45        16        94
2012-02-29     58        35        59
2012-02-28     31        47        70
2012-02-27     46        45        75
2012-02-26     58        21        12
2012-02-25     42        45        96
2012-02-24     49        40        38
2012-02-23     25        45        28
2012-02-22     32        16        90
2012-02-21     53        46        14
2012-02-20     47        30        68
2012-02-19     47        23        10
2012-02-18     54        25        32
2012-02-17     27        24        41
2012-02-16     33        35        27
2012-02-15     52        17        24
2012-02-14     68        24        23
2012-02-13     37        43        88
2012-02-12     27        22        91
2012-02-11     53        21        14
2012-02-10     36        38        88
2012-02-09     39        47        27
2012-02-08     57        47        74
2012-02-07     61        29        64
2012-02-06     31        29        24
2012-02-05     64        28        29
2012-02-04     40        23        99
2012-02-03     47        18        98
2012-02-02     53        50        51
2012-02-01     53        25        30
2012-01-31     66        33        84
2012-01-30     65        32        60
2012-01-29     44        35        94
2012-01-28     57        31        14
2012-01-27     60        44        25
2012-01-26     35        42        26
2012-01-25     61        43        89
2012-01-24     50        49        67
2012-01-23     49        38        82
2012-01-22     25        36        30
2012-01-21     61        43        47
2012-01-20     49        28        15
2012-01-19     51        42        90
2012-01-18     27        23        58
2012-01-17     56        41        45
2012-01-16     52        46        51
2012-01-15     55        19        59
2012-01-14     25        33        26
2012-01-13     33        32        94
2012-01-12     42        26        68
2012-01-11     43        18        76
2012-01-10     32        18        49
2012-01-09     68        20        92
2012-01-08     27        33        92
2012-01-07     60        39        64
2012-01-06     65        27        93
2012-01-05     41        47        100
2012-01-04     67        23        59
2012-01-03     44        44        53
2012-01-02     58        25        67
2012-01-01     33        45        94
2011-12-31     47        21        61
2011-12-30     47        37        94
2011-12-29     67        39        82
2011-12-28     45        30        13
2011-12-27     42        46        56
2011-12-26     38        28        69
2011-12-25     62        17        65
2011-12-24     26        32        49
2011-12-23     46        22        86
2011-12-22     67        41        63
2011-12-21     63        17        19
2011-12-20     44        22        15
2011-12-19     47        21        78
2011-12-18     55        49        81
2011-12-17     68        40        66
2011-12-16     36        37        70
2011-12-15     46        38        32
2011-12-14     62        41        10
2011-12-13     39        46        40
2011-12-12     62        25        27
2011-12-11     43        22        72
2011-12-10     45        48        28
2011-12-09     66        42        22
2011-12-08     41        41        71
2011-12-07     58        39        35
2011-12-06     53        18        88
2011-12-05     50        28        100
2011-12-04     31        15        95
2011-12-03     41        17        51
2011-12-02     55        49        46
2011-12-01     59        31        22
2011-11-30     47        41        52
2011-11-29     48        30        82
2011-11-28     57        20        65
2011-11-27     25        48        74
2011-11-26     67        42        44
2011-11-25     52        21        66
2011-11-24     63        36        38
2011-11-23     39        31        10
2011-11-22     52        28        52
2011-11-21     35        39        42
2011-11-20     27        23        57
2011-11-19     46        21        37
2011-11-18     41        41        48
2011-11-17     51        25        95
2011-11-16     49        37        55
2011-11-15     49        18        70
2011-11-14     62        49        35
2011-11-13     38        28        45
2011-11-12     32        38        87
2011-11-11     36        39        45
2011-11-10     39        38        38
2011-11-09     60        21        41
2011-11-08     47        49        54
2011-11-07     32        45        64
2011-11-06     38        25        89
2011-11-05     38        34        44
2011-11-04     70        38        16
2011-11-03     52        36        55
2011-11-02     60        49        42
2011-11-01     50        22        97
2011-10-31     57        48        95
2011-10-30     33        33        53
2011-10-29     37        41        58
2011-10-28     37        30        45
2011-10-27     31        22        86
2011-10-26     60        15        74
2011-10-25     26        41        16
2011-10-24     30        23        66
2011-10-23     63        20        69
2011-10-22     55        26        80
2011-10-21     38        24        81
2011-10-20     52        43        61
2011-10-19     33        43        34
2011-10-18     38        47        38
2011-10-17     35        39        28
2011-10-16     44        35        100
2011-10-15     65        16        47
2011-10-14     65        40        82
2011-10-13     63        33        83
2011-10-12     62        20        57
2011-10-11     59        39        67
2011-10-10     55        47        94
2011-10-09     31        31        58
2011-10-08     29        46        25
2011-10-07     42        15        82
2011-10-06     55        47        86
2011-10-05     37        31        45
2011-10-04     56        39        87
2011-10-03     53        49        24
2011-10-02     46        21        68
2011-10-01     30        41        75
2011-09-30     47        25        87
2011-09-29     42        29        96
2011-09-28     47        31        16
2011-09-27     63        16        81
2011-09-26     35        46        80
2011-09-25     67        40        75
2011-09-24     43        49        27
2011-09-23     70        24        57
2011-09-22     68        21        49
2011-09-21     27        37        86
2011-09-20     69        48        43
2011-09-19     49        41        90
2011-09-18     61        15        61
2011-09-17     27        41        34
2011-09-16     49        38        43
2011-09-15     34        16        37
2011-09-14     54        35        30
2011-09-13     40        23        20
2011-09-12     49        17        67
2011-09-11     59        23        87
2011-09-10     60        31        93
2011-09-09     34        30        14
2011-09-08     52        47        28
2011-09-07     47        22        74
2011-09-06     49        44        76
2011-09-05     35        26        86
2011-09-04     35        20        42
2011-09-03     36        40        86
2011-09-02     41        43        24
2011-09-01     32        41        46
2011-08-31     39        34        90
2011-08-30     48        22        32
2011-08-29     50        38        47
2011-08-28     62        20        55
2011-08-27     46        32        89
2011-08-26     45        32        25
2011-08-25     65        46        89
2011-08-24     45        24        74
2011-08-23     33        22        93
2011-08-22     60        47        59
2011-08-21     29        26        83
2011-08-20     63        37        77
2011-08-19     37        49        23
2011-08-18     39        32        60
2011-08-17     44        29        13
2011-08-16     56        23        73
2011-08-15     41        26        82
2011-08-14     65        24        98
2011-08-13     37        23        76
2011-08-12     45        16        37
2011-08-11     55        48        61
2011-08-10     37        50        56
2011-08-09     59        48        60
2011-08-08     56        31        11
2011-08-07     44        50        59
2011-08-06     32        33        46
2011-08-05     69        26        71
2011-08-04     47        35        67
2011-08-03     56        37        10
2011-08-02     61        43        91
2011-08-01     67        49        66
2011-07-31     35        22        34
2011-07-30     29        30        95
2011-07-29     48        37        81
2011-07-28     35        36        57
2011-07-27     48        38        86
2011-07-26     63        44        33
2011-07-25     32        27        39
2011-07-24     52        28        86
2011-07-23     65        45        22
2011-07-22     40        23        61
2011-07-21     53        23        25
2011-07-20     28        15        34
2011-07-19     48        28        90
2011-07-18     42        24        44
2011-07-17     49        16        67
2011-07-16     59        41        33
2011-07-15     59        49        29
2011-07-14     48        28        65
2011-07-13     37        36        27
2011-07-12     37        41        49
2011-07-11     27        23        14
2011-07-10     70        47        68
2011-07-09     38        39        11
2011-07-08     29        36        93
2011-07-07     41        26        78
2011-07-06     33        24        28
2011-07-05     33        30        54
2011-07-04     58        30        90
2011-07-03     39        47        82
2011-07-02     42        46        44
2011-07-01     36        29        76
2011-06-30     67        38        85
